Episode,Reward,Episode Steps,Average Rollout Steps,Reward Std,,,
1,7.124364267,107,655.21875,10.75242511,,,
2,2.760206249,1600,513.28125,8.596734476,,,
3,7.568423154,82,380.375,10.48934267,,,
4,3.441471896,61,699.21875,10.11335402,,,
5,2.293059126,55,221.28125,8.223914482,,,
6,3.980966132,78,169.28125,6.401596581,,,
7,6.310429284,121,426.59375,12.20113659,,,
8,3.562498227,74,330,7.719814087,,,
9,2.006501355,65,214.96875,6.815684268,,,
10,3.269447659,79,127.84375,4.98987373,,,
11,3.453042803,86,127.46875,7.547614024,,,
12,0.498206996,79,78.53125,6.769423238,,,
13,2.219889035,71,126.125,3.810544628,,,
14,3.719459228,75,69.46875,2.392799314,,,
15,4.358739633,92,222.46875,9.60259346,,,
16,4.770379207,94,84.90625,4.478825074,,,
17,3.990408977,80,122.40625,3.868110878,,,
18,3.660798129,74,79.53125,5.68058409,,,
19,5.150736011,88,120.9375,3.343513478,,,
20,4.779729131,79,77.59375,3.519264164,,,
21,4.389761787,94,124.65625,6.132530723,,,
22,4.393561078,88,129,6.102539991,,,
23,2.867113563,66,80.84375,5.709170878,,,
24,4.094649659,81,75.75,2.634068967,,,
25,4.222017195,82,129.1875,4.126876816,,,
26,5.291838195,84,76.53125,1.678892489,,,
27,5.081889647,73,131.46875,2.297986346,,,
28,4.434070944,70,133.5,2.93681224,,,
29,3.394890268,68,327.28125,8.963490463,,,
30,4.045283895,68,170.6875,8.699527525,,,
31,3.238098724,64,86.125,3.809359967,,,
32,3.519330768,66,78.71875,1.542460247,,,
33,3.35308564,65,176.09375,7.159410414,,,
34,4.060374853,64,81.1875,3.357676369,,,
35,3.883826247,68,126.96875,4.665800205,,,
36,4.008058485,68,74.71875,0.96338475,,,
37,4.17332125,66,132.625,2.541474723,,,
38,4.162794152,69,174.03125,6.884046465,,,
39,4.596300205,73,75.1875,1.958829965,,,
40,4.331682071,71,175.09375,8.421184429,,,
41,4.652420647,77,180.15625,5.818842975,,,
42,3.434948436,63,176.65625,6.689972803,,,
43,4.583270551,69,219.25,7.947869448,,,
44,5.011559056,72,76.5625,1.711041084,,,
45,5.011421659,70,221.5625,8.185450222,,,
46,4.064251848,61,180.125,10.16334464,,,
47,3.199478924,60,270.34375,10.42300038,,,
48,5.757617314,89,78.25,1.684374222,,,
49,4.554952843,68,138.3125,9.705687932,,,
50,5.617362348,81,81.59375,1.248372091,,,
51,5.434617288,85,180.6875,11.3219686,,,
52,5.515596393,98,130.65625,5.390685738,,,
53,5.374780829,91,135.8125,8.293896637,,,
54,4.544737949,69,81.375,1.059815528,,,
55,5.557063377,94,80.5625,0.867218395,,,
56,5.372701341,80,89.40625,4.154280482,,,
57,5.347881762,78,90.90625,5.610774346,,,
58,5.125107959,76,87.1875,3.358423041,,,
59,4.911486534,72,134.40625,6.586828693,,,
60,4.770055886,74,134.46875,6.644969379,,,
61,3.855864487,66,126.3125,5.355441864,,,
62,4.063071066,67,78.59375,1.068695404,,,
63,4.322695544,72,88.21875,6.928635631,,,
64,5.477190025,84,78.75,1.653963599,,,
65,5.049772318,73,96.21875,8.631458481,,,
66,5.085926501,74,77.34375,1.860182086,,,
67,5.072074723,73,129.90625,3.780322258,,,
68,5.349265843,77,228.3125,8.86259861,,,
69,4.875649193,85,174.9375,10.24101701,,,
70,4.956305697,94,126.53125,4.07969437,,,
71,5.243038347,89,79.78125,1.1140013,,,
72,5.577903274,90,183.0625,9.500964689,,,
73,5.632436486,77,92.46875,5.819579888,,,
74,5.255703806,81,82.25,1.500649884,,,
75,5.40038629,90,125.65625,6.673395376,,,
76,6.10471753,91,85.90625,1.161732048,,,
77,5.577415387,98,131.46875,6.319961662,,,
78,5.303367782,77,127.1875,5.861682603,,,
79,5.423035181,86,81.28125,0.947498263,,,
80,5.678156856,95,88.8125,5.042367614,,,
81,5.256851496,88,128.0625,8.472939394,,,
82,6.528696172,104,86.25,1.071484805,,,
83,5.563574144,87,134.71875,5.377966278,,,
84,5.210873859,79,133.03125,11.13173588,,,
85,5.786572643,82,82.03125,1.039386464,,,
86,6.680019011,91,86.28125,1.558047627,,,
87,5.623821571,86,133.03125,6.180398396,,,
88,5.368260915,83,271.65625,8.682188049,,,
89,5.466119418,86,85.65625,1.323255606,,,
90,5.064324238,82,126.4375,7.591210781,,,
91,5.493176663,89,83.84375,1.404313395,,,
92,6.106937276,90,82.65625,2.034466919,,,
93,5.51955319,86,131,8.365140709,,,
94,5.868222938,92,83.28125,1.112383471,,,
95,5.862136905,89,130.3125,4.259244272,,,
96,7.861179494,97,82.5,1.468572804,,,
97,6.881511455,89,231.78125,10.42638459,,,
98,8.204338614,99,85.25,1.404923343,,,
99,6.446740709,87,242.90625,11.55492093,,,
100,6.548861405,90,85.8125,3.461838286,,,
101,6.753675334,93,133.75,3.76236245,,,
102,5.680862066,83,140,6.855436943,,,
103,7.132724408,93,84.75,1.691196069,,,
104,5.8269056,84,136.65625,9.812897337,,,
