Episode,Reward,Steps,,,
1,6.21146591,1600,,,
2,6.128941983,1600,,,
3,5.469090654,1600,,,
4,5.982500376,1600,,,
5,6.035292832,1600,,,
6,5.425154162,1600,,,
7,6.185834785,1600,,,
8,5.968077693,1600,,,
9,5.171458938,1600,,,
10,6.056169903,1600,,,
11,5.420799863,1600,,,
12,6.099860722,1600,,,
13,5.95077633,1600,,,
14,5.157427025,1600,,,
15,6.158106747,1600,,,
16,5.975984168,1600,,,
17,5.995899321,1600,,,
18,5.993849171,1600,,,
19,5.981277825,1600,,,
20,6.030366877,1600,,,
21,6.018748538,1600,,,
22,5.919836482,1600,,,
23,5.948699478,1600,,,
24,5.974988521,1600,,,
25,6.163283578,1600,,,
26,6.186967363,1600,,,
27,5.990767724,1600,,,
28,6.004577771,1600,,,
29,5.982307149,1600,,,
30,5.983265594,1600,,,
31,5.995495923,1600,,,
32,6.022906318,1600,,,
33,6.105859586,1600,,,
34,6.178361477,1600,,,
35,6.032440776,1600,,,
36,6.136640737,1600,,,
37,6.090132372,1600,,,
38,6.006407783,1600,,,
39,6.116259471,1600,,,
40,6.073595957,1600,,,
41,6.045864227,1600,,,
42,6.172962287,1600,,,
43,5.267018415,1600,,,
44,6.023626831,1600,,,
45,5.172864242,1600,,,
46,5.997544192,1600,,,
47,5.914651087,1600,,,
48,5.88644062,1600,,,
49,6.161581749,1600,,,
50,6.116721636,1600,,,
51,6.074567225,1600,,,
52,5.998136153,1600,,,
53,6.201515302,1600,,,
54,5.920421685,1600,,,
55,5.937609636,1600,,,
56,5.995661928,1600,,,
57,5.897770253,1600,,,
58,6.058894164,1600,,,
59,6.141305849,1600,,,
60,6.140258068,1600,,,
61,6.12855944,1600,,,
62,6.148393944,1600,,,
63,5.978883511,1600,,,
64,5.988824255,1600,,,
65,6.026696784,1600,,,
66,6.00999145,1600,,,
67,5.967579442,1600,,,
68,5.418957172,1600,,,
69,6.019767048,1600,,,
70,5.183954184,1600,,,
71,6.108799364,1600,,,
72,5.907727135,1600,,,
73,5.164509675,1600,,,
74,6.063274229,1600,,,
75,6.039456946,1600,,,
76,6.094580171,1600,,,
77,5.175594799,1600,,,
78,5.956865622,1600,,,
79,5.958387605,1600,,,
80,6.05680886,1600,,,
81,6.107069015,1600,,,
82,6.042372641,1600,,,
83,5.202427739,1600,,,
84,5.320855412,1600,,,
85,5.785724927,1600,,,
86,5.971995804,1600,,,
87,5.364087775,1600,,,
88,6.102088229,1600,,,
89,6.036188271,1600,,,
90,5.959606545,1600,,,
91,6.166417035,1600,,,
92,6.014749604,1600,,,
93,5.9977218,1600,,,
94,6.171144703,1600,,,
95,5.965815666,1600,,,
96,6.018584442,1600,,,
97,5.908407039,1600,,,
98,5.361244069,1600,,,
99,5.983257829,1600,,,
100,6.026592171,1600,,,
101,6.149707799,1600,,,
102,6.114265495,1600,,,
103,5.914199789,1600,,,
104,5.982105645,1600,,,
105,5.186178594,1600,,,
106,6.107696547,1600,,,
107,6.141418354,1600,,,
108,5.995128478,1600,,,
109,5.883484947,1600,,,
110,6.092602075,1600,,,
111,6.019862112,1600,,,
112,6.048357149,1600,,,
113,6.080599577,1600,,,
114,5.99120682,1600,,,
115,5.9820221,1600,,,
116,5.983471231,1600,,,
117,5.967309226,1600,,,
118,6.002717312,1600,,,
119,6.016758522,1600,,,
120,6.201871757,1600,,,
121,6.076875532,1600,,,
122,6.025765362,1600,,,
123,5.875926589,1600,,,
124,5.466568683,1600,,,
125,5.470213977,1600,,,
126,5.466988669,1600,,,
127,6.148777895,1600,,,
128,5.949566385,1600,,,
129,5.948429841,1600,,,
130,6.036916649,1600,,,
131,6.017712966,1600,,,
132,6.150493507,1600,,,
133,5.968634851,1600,,,
134,6.1162644,1600,,,
135,6.128069584,1600,,,
136,6.09308643,1600,,,
137,5.421706958,1600,,,
138,6.077403718,1600,,,
139,5.999086897,1600,,,
140,5.925437888,1600,,,
141,5.170772911,1600,,,
142,6.141215126,1600,,,
143,6.023930247,1600,,,
144,5.35754902,1600,,,
145,5.985257878,1600,,,
146,5.986344292,1600,,,
147,6.074036438,1600,,,
148,5.991026355,1600,,,
149,6.077677742,1600,,,
150,5.983968398,1600,,,
151,6.038286523,1600,,,
152,6.110249395,1600,,,
153,5.954241814,1600,,,
154,6.144981011,1600,,,
155,5.161159771,1600,,,
156,6.004706821,1600,,,
157,5.916324961,1600,,,
158,6.017891321,1600,,,
159,6.003547461,1600,,,
160,5.942772585,1600,,,
161,5.943863203,1600,,,
162,5.923168422,1600,,,
163,5.24455583,1600,,,
164,5.408294406,1600,,,
165,5.785999804,1600,,,
166,5.239812047,1600,,,
167,5.921865314,1600,,,
168,6.050054113,1600,,,
169,6.01156038,1600,,,
170,5.996650394,1600,,,
171,5.885779837,1600,,,
172,5.910261597,1600,,,
173,5.998091085,1600,,,
174,5.971996681,1600,,,
175,6.053270491,1600,,,
176,6.023716031,1600,,,
177,6.079559219,1600,,,
178,5.985300881,1600,,,
179,5.366763634,1600,,,
180,6.023687154,1600,,,
181,6.004737508,1600,,,
182,5.97719391,1600,,,
183,5.910073335,1600,,,
184,6.063024978,1600,,,
185,5.997008422,1600,,,
186,6.117187706,1600,,,
187,6.135606919,1600,,,
188,6.157732229,1600,,,
189,6.145451197,1600,,,
190,6.060408858,1600,,,
191,6.115940569,1600,,,
192,6.202167916,1600,,,
193,6.033080659,1600,,,
194,6.164374282,1600,,,
195,5.991872794,1600,,,
196,6.052609906,1600,,,
197,6.015472442,1600,,,
198,6.054931875,1600,,,
199,6.097213822,1600,,,
200,6.052388622,1600,,,
201,5.931914721,1600,,,
202,6.10360483,1600,,,
203,5.329683772,1600,,,
204,5.913604949,1600,,,
205,5.858185187,1600,,,
206,5.790926022,1600,,,
207,5.348597186,1600,,,
208,5.889709309,1600,,,
209,5.931963436,1600,,,
210,5.967521647,1600,,,
211,5.973048025,1600,,,
212,5.924210341,1600,,,
213,6.11463623,1600,,,
214,6.155844494,1600,,,
215,5.983422615,1600,,,
216,5.86755352,1600,,,
217,5.364042375,1600,,,
218,5.97746937,1600,,,
219,5.923583252,1600,,,
220,6.186324022,1600,,,
221,5.335893035,1600,,,
222,5.919394527,1600,,,
223,5.964594305,1600,,,
224,5.980499819,1600,,,
225,6.141883263,1600,,,
226,6.051452256,1600,,,
227,6.05665213,1600,,,
228,5.97924186,1600,,,
229,6.03124797,1600,,,
230,5.978856552,1600,,,
231,5.997084741,1600,,,
232,6.154589491,1600,,,
233,6.119966876,1600,,,
234,6.102105879,1600,,,
235,6.018781815,1600,,,
236,5.367178483,1600,,,
237,6.111287261,1600,,,
238,6.00077775,1600,,,
239,6.037846689,1600,,,
240,6.019538263,1600,,,
241,5.157067353,1600,,,
242,5.994446873,1600,,,
243,5.907899798,1600,,,
244,5.407501898,1600,,,
245,5.965555662,1600,,,
246,5.93455186,1600,,,
247,5.916375805,1600,,,
248,5.873727305,1600,,,
249,5.487560168,1600,,,
250,6.154258118,1600,,,
251,6.000161077,1600,,,
252,5.186445732,1600,,,
253,6.123747086,1600,,,
254,5.997251151,1600,,,
255,5.970371348,1600,,,
256,5.912411167,1600,,,
257,5.953274388,1600,,,
258,6.053576038,1600,,,
259,5.988950717,1600,,,
260,6.107968026,1600,,,
261,6.05937342,1600,,,
262,5.996280366,1600,,,
263,6.092330587,1600,,,
264,6.167208075,1600,,,
265,6.056177567,1600,,,
266,5.948581378,1600,,,
267,6.066911306,1600,,,
268,5.963716157,1600,,,
269,5.173436478,1600,,,
270,6.093853818,1600,,,
271,6.17010411,1600,,,
272,5.906782455,1600,,,
273,6.019369913,1600,,,
274,5.967025864,1600,,,
275,6.026254552,1600,,,
276,5.978923648,1600,,,
277,5.367883392,1600,,,
278,5.39343352,1600,,,
279,6.096750431,1600,,,
280,5.930805473,1600,,,
281,6.11272707,1600,,,
282,5.185918983,1600,,,
283,5.890363028,1600,,,
284,5.438198657,1600,,,
285,5.428165133,1600,,,
286,6.074376691,1600,,,
287,5.423785641,1600,,,
288,5.795850262,1600,,,
289,5.943062598,1600,,,
290,5.237861307,1600,,,
291,5.960317144,1600,,,
292,6.150049116,1600,,,
293,5.967724706,1600,,,
294,5.995932931,1600,,,
295,6.016923888,1600,,,
296,6.161478991,1600,,,
297,5.951357187,1600,,,
298,5.946869949,1600,,,
299,6.061823734,1600,,,
300,6.031195211,1600,,,
301,5.944698653,1600,,,
302,6.07638396,1600,,,
303,5.419720729,1600,,,
304,5.978903925,1600,,,
305,6.062649989,1600,,,
306,5.999997126,1600,,,
307,6.118417127,1600,,,
308,6.119490107,1600,,,
309,6.078982294,1600,,,
310,6.075610186,1600,,,
311,6.170637717,1600,,,
312,5.172973768,1600,,,
313,6.127363602,1600,,,
314,5.979852928,1600,,,
315,5.964502146,1600,,,
316,5.968179728,1600,,,
317,6.031922689,1600,,,
318,6.04803514,1600,,,
319,6.097810905,1600,,,
320,6.186590136,1600,,,
321,5.15943364,1600,,,
322,6.047992782,1600,,,
323,6.038736507,1600,,,
324,5.864017326,1600,,,
325,5.930880659,1600,,,
326,5.311357779,1600,,,
327,5.883836981,1600,,,
328,5.97048492,1600,,,
329,5.291768284,1600,,,
330,5.936163787,1600,,,
331,5.431787586,1600,,,
332,6.109277368,1600,,,
333,6.161319887,1600,,,
334,6.044035031,1600,,,
335,5.998703162,1600,,,
336,5.929153509,1600,,,
337,5.377433852,1600,,,
338,6.109062861,1600,,,
339,5.984707789,1600,,,
340,6.063887971,1600,,,
341,6.027386513,1600,,,
342,6.025836081,1600,,,
343,5.150671046,1600,,,
344,6.16706345,1600,,,
345,5.890535024,1600,,,
346,6.118475988,1600,,,
347,5.996184311,1600,,,
348,6.14194773,1600,,,
349,6.122729245,1600,,,
350,6.086519932,1600,,,
351,6.01541927,1600,,,
352,6.107812498,1600,,,
353,5.149332537,1600,,,
354,6.100097688,1600,,,
355,5.966893309,1600,,,
356,6.050984901,1600,,,
357,6.18306939,1600,,,
358,5.95764392,1600,,,
359,6.103970019,1600,,,
360,6.169154907,1600,,,
361,6.139194597,1600,,,
362,6.113940749,1600,,,
363,5.476548706,1600,,,
364,5.27399998,1600,,,
365,5.890882206,1600,,,
366,6.038742698,1600,,,
367,5.91978283,1600,,,
368,5.863397637,1600,,,
369,5.913425043,1600,,,
370,5.789545066,1600,,,
371,5.886095836,1600,,,
372,5.296065676,1600,,,
373,5.33145487,1600,,,
374,5.129113941,1600,,,
375,6.157434711,1600,,,
376,6.006648263,1600,,,
377,5.155618932,1600,,,
378,5.968249211,1600,,,
379,5.185285948,1600,,,
