Episode,Reward,Episode Steps,Average Rollout Steps,Reward Std,,,
1,0.572480647,70,804.5,10.77941392,,,
2,-4.955524891,62,271.59375,10.70977989,,,
3,2.141372424,99,329.625,12.73799326,,,
4,0.674747785,74,75.96875,6.715880077,,,
5,-0.946926936,60,79.125,2.884571496,,,
6,3.85299703,112,82.84375,5.827023481,,,
7,-3.806937053,56,85.40625,8.698628983,,,
8,2.728974834,65,137.875,6.341784968,,,
9,-0.367542517,69,207.0625,10.42916831,,,
10,-0.663418443,63,84.84375,5.711846305,,,
11,1.388228843,81,135.53125,9.011842145,,,
12,-3.237769936,64,78.15625,4.284404213,,,
13,-0.819563788,71,72.21875,3.620281521,,,
14,-0.070239902,52,71.21875,1.673450867,,,
15,2.32751714,86,196.53125,8.975134694,,,
16,1.326361275,78,198.5,17.67510492,,,
17,-1.317791884,64,72.59375,1.76081436,,,
18,0.653474617,57,76.21875,3.517595828,,,
19,0.410864693,60,67.5,2.889397067,,,
20,-1.287622283,84,75,3.51668222,,,
21,1.662725571,58,137.78125,12.61865062,,,
22,-2.169571538,86,189.46875,24.6741694,,,
23,-3.436317806,64,73.34375,4.958536563,,,
24,-1.827045328,114,139.46875,15.73796881,,,
25,-0.686063372,52,74.40625,1.769978096,,,
26,-3.404619749,45,61.6875,2.345647666,,,
27,-6.095495107,47,188.40625,25.37382129,,,
28,0.180297214,56,66.53125,2.384956882,,,
29,-0.219989976,54,133.78125,9.304056977,,,
30,0.521427184,71,64.3125,3.750541127,,,
31,-1.999360023,64,72.71875,2.117003325,,,
32,-1.376725715,48,78.78125,3.114408807,,,
33,-4.002587565,46,135.875,10.06959915,,,
34,-2.973897741,46,62.75,2.318549333,,,
35,0.827710613,59,125,9.533203322,,,
36,-0.967053003,81,66.03125,1.807828557,,,
37,-2.438542862,60,247.59375,11.56290653,,,
38,-1.471515506,78,60.25,1.314662827,,,
39,-0.376364488,64,68.15625,1.639754121,,,
40,-1.372719927,72,74.59375,3.721253505,,,
41,1.253468861,62,68.75,1.632624447,,,
42,-0.822100283,58,133.34375,7.119159255,,,
43,2.154257432,53,79.53125,4.218628337,,,
44,1.807351596,68,68.4375,1.901179758,,,
45,2.652659347,67,141.875,11.11013075,,,
46,1.013438225,78,82.125,4.978670257,,,
47,0.945593413,68,73.34375,1.56157743,,,
48,1.704998664,67,80.3125,1.604511911,,,
49,3.053817814,66,76.09375,2.145705475,,,
50,2.808792396,66,78.28125,4.321497324,,,
51,0.934525906,74,72.71875,1.424354058,,,
52,-15.88438455,120,205.21875,19.48286569,,,
53,2.395016876,74,154.28125,10.33216171,,,
54,1.955159004,76,87.75,4.724660598,,,
55,1.851278923,69,70.0625,2.048455844,,,
56,2.486533355,75,77,1.170947938,,,
57,3.019747171,86,78.125,2.735766374,,,
58,2.288849353,76,444.34375,37.92130652,,,
59,2.74303343,75,74.34375,3.739483887,,,
60,1.945904666,74,80.125,4.241390752,,,
61,3.064222255,80,79.59375,2.272289478,,,
62,2.259380092,69,84.84375,4.426422126,,,
63,2.528592533,66,82.59375,1.775623902,,,
64,4.222700355,106,78.59375,1.693073528,,,
65,3.030711692,86,105.5,7.537647739,,,
66,-13.58677916,92,83.4375,0.958549566,,,
67,3.335046018,89,98.71875,6.950969768,,,
68,2.70586958,101,88.78125,3.318757042,,,
69,1.849282946,66,98.84375,1.608038675,,,
70,2.277417211,68,82.90625,5.519391595,,,
71,2.006633931,75,73.71875,0.827329185,,,
72,0.788456749,56,76.0625,1.542188219,,,
73,3.154157119,72,63.1875,1.049320922,,,
74,2.091863936,78,70,0.755758019,,,
75,3.528697236,80,77.46875,1.624411289,,,
76,1.761021181,76,134.21875,8.634471369,,,
77,2.164625012,69,74.40625,0.896828915,,,
78,3.190447915,72,81.46875,1.484320602,,,
79,0.995855031,65,136.1875,13.61173988,,,
80,2.299725252,83,65.53125,1.359497237,,,
81,2.050823171,66,88.15625,1.892431267,,,
82,2.879320683,84,70.09375,1.084364774,,,
83,3.493360663,103,85.4375,3.51021032,,,
84,3.286979016,89,154.65625,6.893415646,,,
85,2.91154456,84,147.53125,16.53917348,,,
86,4.008628441,115,78.75,1.701088308,,,
87,3.08104614,102,94.40625,0.738077767,,,
88,3.568938315,126,219.09375,15.9572866,,,
89,3.51544896,101,103.78125,5.701250456,,,
90,0.793905256,80,149.90625,13.4133246,,,
91,2.808588863,91,96.84375,0.836643034,,,
92,2.59813335,78,90.53125,1.231320263,,,
93,1.851446516,90,93.65625,3.538069387,,,
94,2.423296734,89,87.5625,0.628779993,,,
95,2.351657387,83,150.09375,18.26335787,,,
96,2.486698218,82,84,0.888498094,,,
97,3.174021504,92,80.9375,0.89762074,,,
98,1.459302184,78,93.90625,3.472675496,,,
99,2.921409342,79,81.375,3.26607563,,,
100,3.391226429,89,76.6875,1.078534671,,,
101,2.020009773,78,85.53125,0.71942672,,,
102,2.533063149,117,91.34375,3.193952805,,,
103,2.787958543,101,86.03125,0.631445563,,,
104,3.866661186,94,153.375,12.31030665,,,
105,1.486511177,75,268.125,34.46972335,,,
106,1.264032502,89,81.15625,3.361268559,,,
107,1.986596534,76,144.40625,14.06229891,,,
108,0.818009181,72,77.78125,2.734676504,,,
109,2.15770162,67,74.8125,1.135241177,,,
110,1.420560501,71,499.5625,54.06966829,,,
111,2.753577619,76,132.5,7.440207742,,,
112,3.005449683,86,75.53125,0.746927998,,,
113,1.73970168,77,141.0625,14.95916993,,,
114,2.105252685,76,70.625,0.845590262,,,
115,1.45307801,66,78.8125,0.967498124,,,
116,1.884009923,94,65.90625,0.988443233,,,
117,2.314821973,88,85.3125,0.683403974,,,
