Episode,Reward,Steps,,,
1,-77.2663676,1600,,,
2,-68.64550697,1600,,,
3,-78.00387386,1600,,,
4,-83.83174719,1600,,,
5,-86.53770515,1600,,,
6,-51.62729669,1044,,,
7,-71.7857768,1600,,,
8,-69.56274497,1600,,,
9,-14.11267902,236,,,
10,-68.62884716,1600,,,
11,-67.72986212,1600,,,
12,-14.13074562,235,,,
13,-69.6286391,1600,,,
14,-63.23077324,1600,,,
15,-69.07196263,1600,,,
16,-66.55869414,1600,,,
17,-73.18395068,1600,,,
18,-15.44599519,239,,,
19,-9.810355071,242,,,
20,-67.20475011,1600,,,
21,-76.27811741,1600,,,
22,-72.85680777,1600,,,
23,-15.31377397,239,,,
24,-75.56576219,1600,,,
25,-14.69734357,238,,,
26,-70.62933748,1600,,,
27,-90.96912462,1600,,,
28,-72.46400652,1600,,,
29,-15.41396185,233,,,
30,-21.72988367,324,,,
31,-28.9189768,482,,,
32,-69.9808258,1600,,,
33,-82.48931304,1600,,,
34,-14.6193061,235,,,
35,-70.0333709,1600,,,
36,-67.01000716,1600,,,
37,-40.66227998,804,,,
38,-76.49691233,1600,,,
39,-66.25072084,1457,,,
40,-67.55341442,1600,,,
41,-54.96514222,961,,,
42,-14.0629034,232,,,
43,-71.446145,1600,,,
44,-70.30745628,1600,,,
45,-75.02065611,1600,,,
46,-73.21488669,1600,,,
47,-81.11833275,1600,,,
48,-14.70584762,239,,,
49,-64.15391177,1600,,,
50,-71.60836682,1600,,,
51,-71.52172176,1600,,,
52,-49.27597515,878,,,
53,-84.14929308,1600,,,
54,-61.85120458,1600,,,
55,-61.73218206,1600,,,
56,-19.72013918,324,,,
57,-77.24334416,1600,,,
58,-78.51639539,1600,,,
59,-69.9923171,1600,,,
60,-70.42913164,1600,,,
61,-65.97607245,1600,,,
62,-77.52347395,1600,,,
63,-66.88656561,1600,,,
64,-80.85292045,1600,,,
65,-73.46683659,1600,,,
66,-77.18900215,1600,,,
67,-15.38035178,240,,,
68,-84.9968015,1600,,,
69,-14.57589248,233,,,
70,-71.87021843,1600,,,
71,-27.53329585,534,,,
72,-69.01239091,1600,,,
73,-81.80659538,1600,,,
