Episode,Reward,Steps,,,
1,0.992445732,98,,,
2,-84.75083247,1600,,,
3,-85.26552328,1600,,,
4,-10.75387127,59,,,
5,-85.58195538,1600,,,
6,-33.83853508,255,,,
7,-4.737521151,81,,,
8,-17.47319046,61,,,
9,-13.56229335,71,,,
10,-5.437627801,44,,,
11,-80.0555073,1600,,,
12,-1.74222981,60,,,
13,-10.92169616,44,,,
14,-21.91300446,80,,,
15,-12.60339451,56,,,
16,-3.79942305,73,,,
17,-4.243265682,85,,,
18,-17.44649979,78,,,
19,-79.378601,1600,,,
20,-79.98453138,1600,,,
21,-79.94223415,1600,,,
22,-86.12684022,1600,,,
23,-1.340621998,62,,,
24,-80.74907266,1600,,,
25,-92.44999796,1600,,,
26,-81.72743996,1600,,,
27,-8.666588253,68,,,
28,-21.42432568,77,,,
29,-15.53135962,69,,,
30,-2.804470522,53,,,
31,-85.14135776,1600,,,
32,-3.414581811,76,,,
33,-3.807888699,72,,,
34,-20.35222364,89,,,
35,-17.22114983,63,,,
36,-9.542446158,49,,,
37,-1.478185117,65,,,
38,-80.29869556,1600,,,
39,-83.2112832,1600,,,
40,-5.805068802,67,,,
41,-81.69249903,1600,,,
42,-88.95147943,1600,,,
43,-88.87212012,1600,,,
44,-80.62306229,1600,,,
45,-3.848951394,52,,,
46,-14.74711825,55,,,
47,-91.73249891,1600,,,
48,-2.126107072,54,,,
49,-12.18406331,70,,,
50,-13.87586373,80,,,
51,-13.26404949,71,,,
52,-12.58392339,71,,,
53,-12.94072598,56,,,
54,-86.5334222,1600,,,
55,-83.16127063,1600,,,
56,-19.57680086,93,,,
57,-93.33703415,1600,,,
58,-83.30445813,1600,,,
59,-3.695590988,83,,,
60,-2.254065516,93,,,
61,-13.76768076,60,,,
62,-7.635052485,44,,,
63,-20.26552197,97,,,
64,-82.52209205,1600,,,
65,-79.7475975,1600,,,
66,-7.666180848,79,,,
67,-7.628378516,55,,,
68,-89.09766653,1600,,,
69,-5.998039041,50,,,
70,-78.12898661,1600,,,
71,-2.918202007,95,,,
72,-19.50378306,66,,,
73,-5.348366751,102,,,
74,-21.93321476,115,,,
75,-94.78054164,1600,,,
76,-36.87447611,125,,,
77,-86.49273963,1600,,,
78,-78.24027189,1600,,,
79,-78.6085101,1600,,,
80,-78.393205,1600,,,
81,-30.90924701,120,,,
82,-3.3475177,99,,,
83,-1.718583784,71,,,
84,-2.518076265,111,,,
85,-6.111606896,112,,,
86,-1.725719254,76,,,
87,-0.417572188,94,,,
88,-89.97351545,1600,,,
89,-79.93389472,1600,,,
90,-1.84855692,73,,,
91,-86.08660589,1600,,,
92,-32.65013904,287,,,
93,-12.29433311,55,,,
94,-15.94571717,73,,,
95,-6.99918695,74,,,
96,-83.74567412,1600,,,
97,-83.14025973,1600,,,
98,-20.28044682,87,,,
99,-3.586052389,102,,,
100,-6.81167694,70,,,
101,-17.62975262,87,,,
102,-0.638403213,75,,,
103,-83.73409715,1600,,,
104,-79.84273746,1600,,,
105,-20.01848989,72,,,
106,-91.93446264,1600,,,
107,-7.128917298,68,,,
108,-75.98925992,1600,,,
109,-0.203791693,81,,,
110,-3.005241136,61,,,
111,-4.298322135,106,,,
112,-17.04122786,82,,,
113,-6.40157608,63,,,
114,-4.795155406,99,,,
115,-5.06147587,87,,,
116,-14.30586238,46,,,
117,-6.865362155,86,,,
118,-15.77233708,84,,,
119,-76.37453323,1600,,,
120,-8.282976667,94,,,
121,-84.3283363,1600,,,
122,-19.45093769,90,,,
123,-85.94167414,1600,,,
124,-78.55371237,1600,,,
125,-14.85070063,66,,,
126,-76.60495815,1600,,,
127,-80.62380518,1600,,,
128,-19.87391907,73,,,
129,0.583696739,72,,,
130,-22.18942082,117,,,
131,-14.59121941,84,,,
132,-89.30541171,1600,,,
133,0.001228838,80,,,
134,-91.34007539,1600,,,
135,-86.33322097,1600,,,
