Episode,Reward,Episode Steps,Average Rollout Steps,Reward Std
1,-1.854570903,124,659.875,9.093212529
2,-11.28654167,77,291.3125,10.1150972
3,-1.0864863,64,140.34375,8.355774531
4,-6.443536543,76,82,8.78559168
5,-2.566472326,55,123.75,9.305467766
6,-2.091664847,51,60.71875,1.59599332
7,-4.506354286,141,55.53125,0.844888651
8,-0.929444126,63,83.21875,5.744690296
9,0.62691764,62,73.3125,1.050738967
10,-4.030685619,57,65.65625,4.827146676
11,-2.682530882,47,58.75,3.273156672
12,-0.972289524,55,48.1875,1.098855141
13,-1.66359356,60,53.25,1.029775536
14,-0.217342288,66,62.1875,1.481598318
15,0.721053938,102,66.40625,5.680942829
16,-3.033247121,50,100.9375,15.2546024
17,-1.09236634,48,54.625,1.312178486
18,-1.494985273,52,55.875,2.237123263
19,-1.412633987,56,64.4375,1.784897051
20,0.603767508,111,60.28125,1.796633172
21,0.453656848,68,141.78125,12.26118195
22,-2.781028151,49,68.09375,6.491397017
23,-1.730171843,55,73.125,8.809175273
24,0.778015443,60,72.5,1.439136491
25,0.865346244,60,69,1.665473084
26,-0.035199482,101,57.125,1.231083075
27,-1.499242881,54,57.65625,1.407388175
28,0.533907892,56,64.96875,1.002738776
29,0.630413403,60,66.375,1.186432672
30,-0.076515259,59,67.625,2.894801408
31,-1.672204615,185,224.96875,18.68424041
32,-1.858480489,55,373.03125,28.74679924
33,-1.113458682,52,60.0625,0.822994072
34,-2.04191925,85,58.53125,1.139011503
35,1.405505804,67,227.0625,15.29154229
36,0.862536222,63,67,0.781671841
37,1.395159579,82,69.5,0.708129007
38,-4.663930813,379,64.40625,0.782881954
39,0.461393159,63,260.21875,15.73123325
40,1.024790756,71,71.375,4.906767486
41,-0.568323538,63,184.15625,16.08889422
42,-1.823982988,56,67.5625,4.491145201
43,-3.772399826,54,66.15625,1.079780034
44,1.636315306,88,64.375,3.335210707
45,-2.971768827,49,120.6875,8.287791668
46,-0.245424657,77,82.21875,6.750476759
47,-1.064807483,63,88.375,8.12925689
48,-0.689613504,63,77.65625,6.951602461
49,-0.846668244,70,65.03125,1.092789068
50,1.248192056,69,63.78125,0.676626213
51,0.082523658,57,71.25,6.672526783
52,1.548738571,68,60.1875,1.795701133
53,0.82415055,58,120.6875,13.09066543
54,-2.710113315,55,58.53125,4.340073685
55,-48.30006039,1600,55.1875,1.796836137
56,-7.716564391,53,809.1875,42.57351927
57,3.537062968,134,53.15625,2.873622784
58,-2.425416218,44,202.71875,21.39990113
59,1.039707386,57,67.375,6.810360395
60,-4.413286972,60,58.875,3.80149907
61,-0.385170098,61,66.28125,4.13306381
62,-4.183344102,91,61.15625,2.401018278
63,-2.064475586,50,70.59375,6.821614301
64,-2.575547182,47,84.75,12.76093638
65,-2.086260918,70,61.875,1.987704233
66,-3.152009155,57,58.5,2.166607795
67,-1.50898163,60,58.28125,3.041354438
68,0.215560709,64,63.21875,2.604441148
69,0.156428204,65,58.28125,1.77771558
70,0.398472384,64,63.75,1.3305564
71,-2.300656307,66,63.5,1.403234846
72,1.923595851,69,64.0625,0.967811594
73,0.895067848,64,63.28125,2.708070883
74,-0.016309141,63,63.125,0.973127447
75,0.958632663,64,62,0.864377426
76,1.922757582,89,67.78125,0.60212826
77,2.058292244,66,102.40625,8.480534272
78,3.479906938,91,69.5,1.472515704
79,1.868663589,73,97.59375,5.941355766
80,6.152559821,322,84.6875,5.619615541
81,-13.24314236,319,185.28125,12.31675543
82,-2.042895062,99,123.90625,9.025137676
83,2.387398069,86,156.1875,9.747865314
84,1.780839907,63,74.96875,1.893021332
85,1.200705893,58,93.59375,2.799482041
86,-11.35245372,215,60.65625,0.961307332
87,-17.95085684,247,406.09375,21.48347126
88,2.49365457,76,186.75,14.05542264
89,2.575940847,75,83.84375,3.651937917
90,2.171682438,72,71.71875,0.955133067
91,2.588953614,118,76.21875,1.112784701
92,2.036321126,71,91.0625,8.819080075
93,-0.042079263,79,66.34375,1.331000612
94,2.233896437,66,80.09375,1.137008921
95,1.423705325,71,67.21875,0.982203842
96,2.52771456,86,69.5,1.551656094
97,4.31227349,81,94.53125,6.722205351
98,3.397692314,76,70.40625,0.766682343
99,3.292327043,74,84.625,2.477664751
100,6.030309141,97,82.3125,1.377457238
101,7.029735817,79,205.71875,10.48617057
102,8.744947848,90,81.65625,4.23568568
103,-19.03252929,151,81.8125,4.046465735
104,-18.80375867,95,447.3125,17.58981423
105,6.94078849,91,125.75,9.958794854
106,1.674995412,72,75.53125,3.876481123
107,5.151005333,88,154.96875,14.89164548
108,4.02936139,70,115.15625,9.336127442
109,4.120248655,93,62.9375,2.055622851
110,0.458467833,55,92.40625,5.342724913
111,8.389438381,101,65.59375,2.677085982
112,4.515652828,90,109,8.686339155
113,7.784608755,91,108.71875,7.895161348
114,5.597608372,99,80.75,2.731201902
115,1.244474192,69,97.1875,9.969391469
116,5.97113971,117,80.71875,2.086814958
117,6.100420558,119,183.25,13.13399445
118,7.29076908,79,78.625,1.852994476
119,5.379917038,89,76.09375,2.290701133
120,4.081403324,90,82.5,2.429495153
121,4.329645231,126,269.75,13.38538372
122,6.370253514,99,327.125,15.14033733
123,6.526613218,91,230.4375,13.66323055
124,1.517420761,242,97.53125,5.32681257
125,7.882979101,86,122.3125,10.91423047
126,2.954238221,74,81.03125,8.284921889
127,1.984193549,68,84.375,6.758843859
128,12.33279417,102,98.53125,5.141300038
129,1.639014554,153,96.96875,4.05660825
130,3.932262714,89,321.4375,18.89082359
131,8.375690401,104,97,3.233608093
132,7.872679741,123,242.1875,18.06985827
133,3.109069099,129,172.8125,13.1202297
134,8.38427113,103,193.03125,11.10739231
135,11.99831768,115,114.78125,4.0236172
136,9.905392389,107,162.125,6.374786829
137,4.069638384,86,266.4375,15.36591447
138,6.500731345,98,97.75,3.446803981
139,1.828095274,84,348.9375,20.45503724
140,-27.45577244,1600,94.21875,2.229787742
141,8.837690681,123,225.3125,15.26949843
142,7.997322779,122,142.90625,14.20500322
143,7.98801037,125,141.875,11.68794768
144,-11.1830974,369,216.90625,13.77545319
145,9.399922333,154,230.46875,10.70181196
146,9.632022237,177,161,5.934072221
147,11.62474462,151,179.21875,8.379799967
148,4.940839347,163,160.96875,8.356613366
149,6.431535911,142,172,3.051751417
150,6.323265995,121,231.59375,11.44821332
151,7.500492177,130,131.5,2.543526728
152,8.569785247,155,142.4375,2.610151856
153,7.713667938,98,251.625,16.63439794
154,28.97957659,832,219.65625,14.47759445
155,-6.845244091,1600,635.9375,34.93850338
156,-24.16099315,750,990.0625,31.81266766
157,13.78717604,147,826.40625,33.06748581
158,-1.827229561,407,224.4375,16.402718
159,10.51692142,129,417.28125,23.46566659
160,118.3285294,1199,403.34375,20.30673437
161,139.329295,1600,606.0625,38.53864838
162,16.10698878,129,503.65625,31.90611711
163,46.74468164,578,292.8125,20.34388867
164,42.2034478,519,539.1875,32.73346385
165,70.91768718,1391,411.9375,32.06218596
166,61.08105975,796,741.0625,31.84717397
167,64.89865855,767,1056.28125,46.56901203
168,20.16322559,826,982.40625,40.39691682
169,114.9276533,1600,1150.875,31.0742271
170,8.488716876,143,587,32.90909153
171,23.45958852,1600,730.625,36.04736893
172,12.63124771,162,787.65625,42.50025202
173,-57.33358321,1600,575.28125,31.12073661
174,66.52201505,1600,1028.4375,38.84007096
175,130.2869094,1600,866.78125,41.27021188
176,-16.73265993,1600,921.34375,61.75917939
177,41.61054932,852,527.375,31.51620253
178,48.7829158,784,565.625,47.34522961
179,31.23511326,1600,502.25,32.83875538
180,100.1615931,1600,413.125,20.20366861
181,-25.12329268,159,740.28125,35.05585169
182,5.021458513,103,816.09375,49.27502319
183,109.694934,1600,364.78125,34.18619196
184,6.158719918,129,765.21875,42.61415477
185,95.87071684,1600,349.34375,23.72555819
186,93.63672347,1600,741.53125,30.50356563
187,40.76578239,945,1023.78125,37.87528606
188,-14.39600259,191,880.34375,41.91110084
189,35.66016698,1600,816.25,45.38634146
190,37.97256621,1600,546.0625,28.40135104
191,27.81153733,473,965.84375,39.64792737
192,-24.35747379,171,670.84375,43.77593593
193,26.65984467,258,592.25,36.48432494
194,38.34154178,841,823.1875,36.51584638
195,118.8691124,1480,693.46875,30.36208325
196,3.272211279,238,601.6875,34.01102731
197,13.49801478,513,751.6875,39.46993944
198,99.63552431,1460,525.28125,33.53753376
199,96.23131689,1445,464.84375,39.15301238
200,51.07639624,1301,580.25,35.23935502
201,80.15288098,1481,483,33.86714929
202,109.083339,1016,621.5,46.64504657
203,-3.088036665,59,323.59375,32.75413679
204,15.84287012,209,442.28125,43.33362956
205,7.57678914,301,394.0625,29.68033059
206,58.54675994,794,559,31.79724218
207,36.39365293,291,439.96875,42.23663392
208,14.17007945,165,532.5625,36.43254783
209,46.55182554,399,593.71875,56.26035923
210,34.88563338,349,341.84375,26.5680926
211,-13.26165866,192,394.59375,25.51238219
212,180.6492431,1600,509.125,35.59717099
213,65.69903999,725,586.25,29.60399526
214,60.78028678,885,580.28125,41.80770346
215,52.34185115,548,601.6875,34.03764607
216,8.406048442,154,587.5625,38.50620326
217,27.83838363,400,530.375,38.87164809
218,28.05745983,251,554.75,36.68270746
219,34.44444976,369,435.15625,31.77304446
220,55.66512489,991,507.46875,36.4063511
221,57.98479588,1040,458.34375,34.99173178
222,83.33382087,1098,521.15625,31.64668571
223,-34.53898306,149,567.65625,24.41634626
224,26.65415261,234,546.53125,43.67472714
225,-0.948558979,281,365.125,34.93266371
226,62.76441554,465,527.5,33.78875928
227,72.90248202,805,426.375,36.34071537
228,78.87251059,573,581.5625,47.54798945
229,35.90258207,288,619.8125,40.25912289
